phase,policy,annualization_sessions,annualized_net_volatility,cost_bps,cost_convention,gross_cumulative_return,holding_intervals,initial_holdings,kind,maximum_net_drawdown,mean_concentration_hhi,net_cumulative_return,slippage_bps,terminal_liquidation,turnover_l1,zero_rate_sharpe
validation,weekly_only/floor_0,252,0.3783556455914642,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.03028368662722225,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.17424508899660052,0.9999999999999959,0.006067168046504312,5.0,False,15.83333333333342,0.2344317792413313
validation,weekly_only/risk_1,252,0.2585970988738995,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.09182088121216014,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12139471301628024,0.22936727262487175,0.08071943345319954,5.0,False,6.809264821131561,1.0391947201657956
validation,weekly_only/risk_10,252,0.25859709887389964,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.09182088121215992,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.12139471301628013,0.22936727262487233,0.0807194334531991,5.0,False,6.809264821131562,1.0391947201657896
validation,weekly_rolling/blend_025,252,0.27241978720123006,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.1398430035924425,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.09381954035511164,0.21518372626030904,0.12639115026343473,5.0,False,7.909958603897752,1.4615216227595662
validation,weekly_rolling/cap_020,252,0.26297225588663653,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.14586530188425373,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.09992888198667815,0.12542743314705732,0.13575936795553378,5.0,False,5.903858958577204,1.6002782738160097
validation,weekly_rolling/diagonal_025,252,0.2710191317598037,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.11204692129688643,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.1060984919662562,0.22157986278799122,0.10032840725638659,5.0,False,7.05860461818215,1.205212221995469
validation,weekly_rolling/direct,252,0.271794018255771,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.11469521418605155,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10609849196625676,0.22225060622719683,0.10303315756193299,5.0,False,7.007625457038427,1.2299800630882376
validation,weekly_rolling/floor_0,252,0.3853961397388965,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.08301518958854226,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.179326699991053,0.9316648034595412,0.056902367933108655,5.0,False,16.249349788949758,0.6258061550555657
validation,weekly_rolling/risk_1,252,0.26594842598977125,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.08501102454137044,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10609849196625787,0.22939913769714526,0.07277544367263089,5.0,False,7.5561866541260665,0.9333886109875923
validation,weekly_rolling/risk_10,252,0.2746130312340614,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.12238178557073542,83,equal weight; first rebalance charged,adjusted-close research accounting,-0.10609849196625709,0.22447140781949868,0.11088706663547732,5.0,False,6.858927530586403,1.2986403395856556
final_test,equal_weight/cap_020,252,0.218480870870197,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.0782348369669903,45,equal weight; first rebalance charged,adjusted-close research accounting,-0.08628644209294734,0.08344008930764031,0.07773269513323378,5.0,False,0.3105332246828,2.0267187248589376
final_test,equal_weight/direct,252,0.218480870870197,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.0782348369669903,45,equal weight; first rebalance charged,adjusted-close research accounting,-0.08628644209294734,0.08344008930764031,0.07773269513323378,5.0,False,0.3105332246828,2.0267187248589376
final_test,historical_only/cap_020,252,0.2379709294097766,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,-0.0036065071671459448,45,equal weight; first rebalance charged,adjusted-close research accounting,-0.0940130259700015,0.12347051638347442,-0.0058199449814368975,5.0,False,1.4822379219426811,-0.021257522441289017
final_test,historical_only/direct,252,0.3037727673652446,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,-0.02005480678094551,45,equal weight; first rebalance charged,adjusted-close research accounting,-0.12573263211162256,0.159572793004615,-0.022474710089098848,5.0,False,1.6478586124820471,-0.27138239907836903
final_test,reference/cap_020,252,0.24088234670696929,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.06255428555436149,45,equal weight; first rebalance charged,adjusted-close research accounting,-0.08786732779847228,0.12512394095729132,0.05716206974219329,5.0,False,3.390631748873781,1.4109307546152705
final_test,reference/direct,252,0.26683153233214735,10.0,L1 dollars traded per pre-cost wealth; costs deducted proportionally before holding return,0.005356914428961357,45,equal weight; first rebalance charged,adjusted-close research accounting,-0.08496227276005053,0.22845995973235547,-0.0008806704602366544,5.0,False,4.146664123287754,0.1112264665438614
