phase,model,ticker,actual_zero_count,count,directional_accuracy,last_price_mae,prediction_zero_count,price_mae,price_rmse,relative_price_mae,return_mae
final_test,last_price,MSFT,0,9,0.0,12.740529378255209,9,12.740529378255209,21.44979247169537,1.0,0.03120208334529284
final_test,last_price,NFLX,0,9,0.0,1.1822213066948786,9,1.1822213066948786,1.7550053760726163,1.0,0.015924446243520605
final_test,last_price,NVDA,0,9,0.0,4.189754909939236,9,4.189754909939236,6.724981173983237,1.0,0.02024831159101264
final_test,last_price,PLTR,0,9,0.0,3.888888888888889,9,3.888888888888889,5.13208645745788,1.0,0.026599229314587334
final_test,last_price,TSLA,0,9,0.0,12.76554701063368,9,12.76554701063368,19.79611639672012,1.0,0.03548620360275428
final_test,last_price,TSM,0,9,0.0,10.714447021484375,9,10.714447021484375,15.582914599211126,1.0,0.025405193409801036
final_test,reference,AAPL,0,9,0.7777777777777778,3.7399224175347223,0,8.976464598432635,10.255856772568144,2.4001740133287925,0.029012855227234204
final_test,reference,AMD,0,9,0.6666666666666666,20.068888346354168,0,48.29123119858251,55.42148555360235,2.406273350330108,0.10035428880600085
final_test,reference,AMZN,0,9,0.6666666666666666,4.908888075086805,0,10.958098207099539,12.800041649488271,2.23229742448462,0.04359595298246002
final_test,reference,GOOG,0,9,0.4444444444444444,6.556871202256945,0,14.959346285292334,18.392855213109073,2.2814763053669815,0.043205440828086875
final_test,reference,JPM,0,9,0.5555555555555556,4.016652425130208,0,6.682868185052674,7.221396377794548,1.6637905095400518,0.018996083975079445
final_test,reference,META,0,9,0.5555555555555556,20.5433349609375,0,30.728840611692576,38.34874003783182,1.4958058499324716,0.051326911834894545
final_test,reference,MSFT,0,9,0.4444444444444444,12.740529378255209,0,44.14254096430489,53.504375537141534,3.464733658527942,0.09759316988782557
final_test,reference,NFLX,0,9,0.7777777777777778,1.1822213066948786,0,4.91277362394743,5.515747893589072,4.155544817308368,0.06554356269916814
final_test,reference,NVDA,0,9,0.5555555555555556,4.189754909939236,0,10.416134545270593,11.979334392375975,2.486096387299576,0.05020486233642388
final_test,reference,PLTR,0,9,0.4444444444444444,3.888888888888889,0,16.599068956969624,22.461891232243094,4.2683320175064745,0.10126210617912595
final_test,reference,TSLA,0,9,0.4444444444444444,12.76554701063368,0,36.27518651812434,43.14527309863784,2.841647638593722,0.10507982124718618
final_test,reference,TSM,0,9,0.5555555555555556,10.714447021484375,0,16.10851307226114,19.80275074460009,1.503438585300828,0.038294653480727615
